region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample,imported_at,n_grid_cells
gannan-luqu,CMFD_regional_gannan-luqu,2015-04-01 00:00,1.4,29.9,2.4,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357709+00:00,80
linzhi-bayi,CMFD_regional_linzhi-bayi,2015-04-01 00:00,0.9,85.0,1.8,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357775+00:00,144
naqu-bange,CMFD_regional_naqu-bange,2015-05-01 00:00,3.3,17.6,3.4,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367368+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-05-01 00:00,2.5,44.1,2.5,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367448+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-05-01 00:00,0.8,36.1,3.2,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367513+00:00,187
naqu-anduo,CMFD_regional_naqu-anduo,2015-05-01 00:00,-1.5,28.9,3.8,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367632+00:00,1872
naqu-shenzha,CMFD_regional_naqu-shenzha,2015-05-01 00:00,3.2,11.5,4.1,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367703+00:00,440
changdu-karuo,CMFD_regional_changdu-karuo,2015-05-01 00:00,5.1,88.1,1.8,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367771+00:00,208
changdu-luolong,CMFD_regional_changdu-luolong,2015-05-01 00:00,2.3,87.4,2.5,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367841+00:00,140
changdu-leiwuqi,CMFD_regional_changdu-leiwuqi,2015-05-01 00:00,4.7,94.7,2.3,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.367968+00:00,120
changdu-jiangda,CMFD_regional_changdu-jiangda,2015-05-01 00:00,4.2,96.3,1.7,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368112+00:00,256
rikaze-xietongmen,CMFD_regional_rikaze-xietongmen,2015-05-01 00:00,4.3,11.5,3.3,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368252+00:00,209
rikaze-jiangzi,CMFD_regional_rikaze-jiangzi,2015-05-01 00:00,6.2,17.2,3.3,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368368+00:00,77
rikaze-kangma,CMFD_regional_rikaze-kangma,2015-05-01 00:00,3.7,20.6,3.8,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368487+00:00,84
rikaze-zhongba,CMFD_regional_rikaze-zhongba,2015-05-01 00:00,-0.2,10.9,4.7,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368601+00:00,702
shannan-cuona,CMFD_regional_shannan-cuona,2015-05-01 00:00,12.6,97.2,1.7,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368702+00:00,480
ali-gaize,CMFD_regional_ali-gaize,2015-05-01 00:00,-0.5,15.6,4.4,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368842+00:00,1892
yushu-chengduo,CMFD_regional_yushu-chengduo,2015-05-01 00:00,1.2,64.9,2.9,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368914+00:00,323
yushu-zaduo,CMFD_regional_yushu-zaduo,2015-05-01 00:00,0.7,58.6,2.9,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.368990+00:00,578
